pair,frequency,course1,course2
"(368, 551)",22,368,551
"(490, 679)",22,490,679
"(504, 1161)",22,504,1161
"(363, 566)",21,363,566
"(523, 553)",21,523,553
"(490, 571)",21,490,571
"(552, 776)",21,552,776
"(745, 1103)",21,745,1103
"(672, 1138)",21,672,1138
"(745, 1100)",21,745,1100
"(777, 1103)",21,777,1103
"(564, 829)",21,564,829
"(357, 516)",21,357,516
"(356, 515)",21,356,515
"(489, 750)",21,489,750
"(514, 664)",21,514,664
"(490, 750)",21,490,750
"(508, 809)",21,508,809
"(514, 516)",21,514,516
"(517, 519)",21,517,519
"(840, 1103)",21,840,1103
"(366, 502)",21,366,502
"(551, 908)",21,551,908
"(490, 749)",21,490,749
"(566, 1152)",21,566,1152
"(508, 566)",21,508,566
"(523, 756)",21,523,756
"(356, 566)",21,356,566
"(523, 672)",20,523,672
"(1099, 1139)",20,1099,1139
"(489, 1100)",20,489,1100
"(489, 572)",20,489,572
"(515, 776)",20,515,776
"(1102, 1103)",20,1102,1103
"(519, 777)",20,519,777
"(523, 664)",20,523,664
"(361, 516)",20,361,516
"(514, 519)",20,514,519
"(515, 1100)",20,515,1100
"(511, 551)",20,511,551
"(552, 569)",20,552,569
"(489, 562)",20,489,562
"(572, 1103)",20,572,1103
"(752, 1181)",20,752,1181
"(569, 794)",20,569,794
"(502, 519)",20,502,519
"(564, 572)",20,564,572
"(504, 764)",20,504,764
"(749, 757)",20,749,757
"(511, 563)",19,511,563
"(566, 1125)",19,566,1125
"(502, 571)",19,502,571
"(523, 765)",19,523,765
"(564, 752)",19,564,752
"(564, 1116)",19,564,1116
"(357, 566)",19,357,566
"(564, 750)",19,564,750
"(750, 777)",19,750,777
"(764, 1103)",19,764,1103
"(357, 515)",19,357,515
"(489, 569)",19,489,569
"(672, 813)",19,672,813
"(502, 745)",19,502,745
"(552, 664)",19,552,664
"(358, 752)",19,358,752
"(570, 764)",19,570,764
"(502, 569)",19,502,569
"(502, 572)",19,502,572
"(566, 909)",19,566,909
"(503, 791)",19,503,791
"(566, 1115)",19,566,1115
"(513, 566)",19,513,566
"(907, 1103)",19,907,1103
"(572, 794)",19,572,794
"(551, 912)",18,551,912
"(366, 519)",18,366,519
"(519, 564)",18,519,564
"(357, 523)",18,357,523
"(515, 553)",18,515,553
"(571, 1103)",18,571,1103
"(516, 1187)",18,516,1187
"(679, 776)",18,679,776
"(571, 1186)",18,571,1186
"(659, 671)",18,659,671
"(551, 1102)",18,551,1102
"(750, 809)",18,750,809
"(513, 514)",18,513,514
"(1140, 1185)",18,1140,1185
"(357, 361)",18,357,361
"(362, 363)",18,362,363
"(508, 551)",18,508,551
"(752, 777)",18,752,777
"(679, 1103)",18,679,1103
"(502, 752)",18,502,752
"(564, 570)",18,564,570
"(569, 1145)",18,569,1145
"(572, 1145)",18,572,1145
"(809, 1104)",18,809,1104
"(514, 562)",18,514,562
"(564, 1102)",18,564,1102
"(367, 523)",18,367,523
"(570, 777)",18,570,777
"(809, 1103)",18,809,1103
"(679, 794)",18,679,794
"(523, 757)",18,523,757
"(551, 742)",18,551,742
"(503, 1185)",18,503,1185
"(504, 564)",18,504,564
"(368, 515)",18,368,515
"(507, 794)",18,507,794
"(840, 1100)",18,840,1100
"(356, 502)",17,356,502
"(745, 1146)",17,745,1146
"(553, 571)",17,553,571
"(551, 909)",17,551,909
"(361, 745)",17,361,745
"(360, 745)",17,360,745
"(504, 679)",17,504,679
"(566, 765)",17,566,765
"(745, 764)",17,745,764
"(514, 776)",17,514,776
"(489, 664)",17,489,664
"(502, 840)",17,502,840
"(502, 503)",17,502,503
"(752, 1103)",17,752,1103
"(570, 679)",17,570,679
"(357, 745)",17,357,745
"(356, 361)",17,356,361
"(809, 1184)",17,809,1184
"(679, 1102)",17,679,1102
"(743, 809)",17,743,809
"(363, 514)",17,363,514
"(502, 741)",17,502,741
"(745, 765)",17,745,765
"(490, 777)",17,490,777
"(756, 764)",17,756,764
"(570, 757)",17,570,757
"(553, 1147)",16,553,1147
"(551, 744)",16,551,744
"(519, 672)",16,519,672
"(1099, 1187)",16,1099,1187
"(519, 1100)",16,519,1100
"(519, 553)",16,519,553
"(509, 1139)",16,509,1139
"(523, 753)",16,523,753
"(502, 1100)",16,502,1100
"(515, 829)",16,515,829
"(679, 745)",16,679,745
"(523, 1125)",16,523,1125
"(764, 829)",16,764,829
"(571, 1100)",16,571,1100
"(518, 566)",16,518,566
"(517, 745)",16,517,745
"(366, 745)",16,366,745
"(489, 1115)",16,489,1115
"(489, 1116)",16,489,1116
"(551, 743)",16,551,743
"(571, 750)",16,571,750
"(361, 571)",16,361,571
"(659, 753)",16,659,753
"(357, 553)",16,357,553
"(829, 908)",16,829,908
"(829, 1100)",16,829,1100
"(513, 664)",16,513,664
"(359, 570)",16,359,570
"(518, 519)",16,518,519
"(1115, 1184)",16,1115,1184
"(552, 1103)",16,552,1103
"(519, 752)",16,519,752
"(752, 764)",16,752,764
"(679, 1100)",16,679,1100
"(551, 1140)",16,551,1140
"(502, 777)",16,502,777
"(566, 744)",16,566,744
"(764, 840)",16,764,840
"(356, 516)",16,356,516
"(361, 515)",16,361,515
"(523, 749)",16,523,749
"(809, 829)",16,809,829
"(358, 551)",16,358,551
"(562, 794)",16,562,794
"(489, 909)",16,489,909
"(776, 794)",16,776,794
"(511, 566)",16,511,566
"(809, 1116)",16,809,1116
"(490, 670)",16,490,670
"(514, 569)",16,514,569
"(507, 1104)",16,507,1104
"(745, 1125)",15,745,1125
"(509, 551)",15,509,551
"(489, 829)",15,489,829
"(356, 366)",15,356,366
"(571, 679)",15,571,679
"(553, 566)",15,553,566
"(566, 568)",15,566,568
"(366, 571)",15,366,571
"(489, 814)",15,489,814
"(552, 1102)",15,552,1102
"(1100, 1116)",15,1100,1116
"(523, 908)",15,523,908
"(908, 1102)",15,908,1102
"(664, 742)",15,664,742
"(566, 814)",15,566,814
"(552, 753)",15,552,753
"(745, 776)",15,745,776
"(358, 359)",15,358,359
"(551, 755)",15,551,755
"(361, 566)",15,361,566
"(515, 1125)",15,515,1125
"(515, 791)",15,515,791
"(570, 1100)",15,570,1100
"(507, 764)",15,507,764
"(757, 794)",15,757,794
"(507, 552)",15,507,552
"(1141, 1188)",15,1141,1188
"(489, 756)",15,489,756
"(564, 840)",15,564,840
"(523, 907)",15,523,907
"(490, 1100)",15,490,1100
"(566, 670)",15,566,670
"(514, 741)",15,514,741
"(743, 749)",15,743,749
"(551, 1138)",14,551,1138
"(502, 1103)",14,502,1103
"(356, 519)",14,356,519
"(551, 1144)",14,551,1144
"(515, 765)",14,515,765
"(552, 745)",14,552,745
"(552, 659)",14,552,659
"(515, 568)",14,515,568
"(489, 765)",14,489,765
"(552, 1115)",14,552,1115
"(489, 907)",14,489,907
"(552, 907)",14,552,907
"(552, 1101)",14,552,1101
"(572, 679)",14,572,679
"(571, 777)",14,571,777
"(517, 659)",14,517,659
"(516, 794)",14,516,794
"(523, 1102)",14,523,1102
"(1101, 1102)",14,1101,1102
"(489, 776)",14,489,776
"(519, 776)",14,519,776
"(829, 1103)",14,829,1103
"(503, 515)",14,503,515
"(489, 1102)",14,489,1102
"(502, 517)",14,502,517
"(664, 777)",14,664,777
"(504, 1145)",14,504,1145
"(752, 794)",14,752,794
"(679, 908)",14,679,908
"(516, 571)",14,516,571
"(750, 752)",14,750,752
"(366, 368)",14,366,368
"(507, 523)",14,507,523
"(750, 1103)",14,750,1103
"(551, 1116)",14,551,1116
"(502, 750)",14,502,750
"(489, 1152)",14,489,1152
"(564, 569)",14,564,569
"(490, 829)",14,490,829
"(503, 514)",14,503,514
"(552, 908)",14,552,908
"(659, 794)",14,659,794
"(794, 814)",14,794,814
"(566, 907)",14,566,907
"(570, 743)",14,570,743
"(564, 1103)",13,564,1103
"(519, 809)",13,519,809
"(366, 516)",13,366,516
"(519, 765)",13,519,765
"(519, 568)",13,519,568
"(571, 776)",13,571,776
"(523, 659)",13,523,659
"(568, 1187)",13,568,1187
"(518, 552)",13,518,552
"(356, 490)",13,356,490
"(1103, 1125)",13,1103,1125
"(489, 1101)",13,489,1101
"(679, 907)",13,679,907
"(679, 1101)",13,679,1101
